Platform,Name,College,Dates,Registration Last Date,Team Size,Link
Unstop,CHAKRAVYUHA 1.0,"Sri Sairam Institute of Technology (SSIT), Tamil Nadu",25 March,18 March,1-4,https://unstop.com/hackathons/chakravyuha-10-sri-sairam-institute-of-technology-ssit-tamil-nadu-1660391
Unstop,Fastathon,"SRM Institute of Science and Technology (SRMIST), Kattankulathur, Chennai",25 March,19 March,2-4,https://unstop.com/hackathons/fastathon-srm-institute-of-science-and-technology-kattankulathur-chennai-1652806
Unstop,Prayacthon 2026,Madras Institute of Technology,21 March,21 March,1-4,https://unstop.com/hackathons/prayacthon-madras-institute-of-technology-1657460
Unstop,Hack Hustle 2.0,"Saveetha Engineering College (SEC), Chennai",17 April,5 April,2-4,https://unstop.com/hackathons/hack-hustle-20-saveetha-engineering-college-sec-chennai-1653518
Unstop,Debug Duel,"VELS Institute of Science, Technology and Advanced Studies (VELS University), Chennai",18 March,18 March,1-1,https://unstop.com/hackathons/debug-duel-vels-institute-of-science-technology-and-advanced-studies-vels-university-chennai-1656314
Unstop,Reverse Spell,"Madras Institute of Technology (MIT), Anna University, Chennai, Tamil Nadu",22 March,21 March,2-2,https://unstop.com/hackathons/reverse-spell-madras-institute-of-technology-mit-anna-university-chennai-tamil-nadu-1654294
Unstop,ITERYX ’26,"St. Joseph's College of Engineering, Chennai",31 March,26 March,3-6,https://unstop.com/hackathons/iteryx-26-st-josephs-college-of-engineering-chennai-1649239
Unstop,WebTrap-Prayatna 2026,"Madras Institute of Technology (MIT), Anna University, Chennai, Tamil Nadu",22 March,21 March,2-3,https://unstop.com/hackathons/webtrap-tech-event-madras-institute-of-technology-mit-anna-university-chennai-tamil-nadu-1652521
Unstop,Techodu Vilaiyadu,"Anna University (AU), Chennai",28 March,28 March,2-3,https://unstop.com/hackathons/techodu-vilaiyadu-itrix26-anna-university-au-chennai-1649293
Unstop,Security Arena,"Anna University (AU), Chennai",27 March,27 March,1-2,https://unstop.com/hackathons/security-arena-itrix26-anna-university-au-chennai-1649306
Unstop,Hack and Shield,IIITDM Kancheepuram,29 March,25 March,1-4,https://unstop.com/hackathons/hack-and-shield-savara-iiitdm-kancheepuram-1640035
Unstop,AlgoXchange,IIITDM Kancheepuram,31 March,31 March,3-3,https://unstop.com/hackathons/algoxchange-savara-iiitdm-kancheepuram-1648423
Unstop,Capture The Flag,IIITDM Kancheepuram,28 March,25 March,1-4,https://unstop.com/hackathons/capture-the-flag-savara-iiitdm-kancheepuram-1640013
Unstop,Reverse Engineering Challenge,IIITDM Kancheepuram,28 March,25 March,2-4,https://unstop.com/hackathons/reverse-engineering-challenge-savara-iiitdm-kancheepuram-1639979
Unstop,Ricing & Scripting,"Indian Institute of Information Technology, Design and Manufacturing (IIITDM), Kancheepuram",31 March,25 March,1-1,https://unstop.com/hackathons/ricing-scripting-savara-indian-institute-of-information-technology-design-and-manufacturing-iiitdm-kancheepur-1640055
Unstop,Game Jam,IIITDM Kancheepuram,30 March,25 March,1-5,https://unstop.com/hackathons/game-jam-savara-iiitdm-kancheepuram-1641905
Unstop,Backend Breakdown,IIITDM Kancheepuram,30 March,25 March,1-2,https://unstop.com/hackathons/backend-breakdown-savara-iiitdm-kancheepuram-1640028
Unstop,Vashisht Hackathon 3.O,IIITDM Kancheepuram,29 March,25 March,2-4,https://unstop.com/hackathons/vashisht-hackathon-3o-savara-iiitdm-kancheepuram-1640006
Unstop,Lens & Logic,IIITDM Kancheepuram,30 March,25 March,1-2,https://unstop.com/hackathons/lens-logic-savara-iiitdm-kancheepuram-1640822
Unstop,Opcode: Optimal Coding Challenge,IIITDM Kancheepuram,30 March,30 March,2-2,https://unstop.com/hackathons/opcode-optimal-coding-challenge-savara-iiitdm-kancheepuram-1640051
Unstop,Triathlon,IIITDM Kancheepuram,29 March,28 March,2-4,https://unstop.com/hackathons/triathlon-savara-iiitdm-kancheepuram-1639995
